Strategy_no,From_time,To_time,no_preds,Accuracy,p_val,, 0_min_low,, 0_indicator,, 0_threshold_high,, 0_direction,, 0_max_high,, 0_threshold_low,, 1_min_low,, 1_indicator,, 1_threshold_high,, 1_direction,, 1_max_high,, 1_threshold_low
,2005-01-01 00:00:00, 2005-12-31 23:59:59,158,0.4620253165,0.3815734455, 0_min_low,-500, 0_indicator, CDL3BLACKCROW_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,218,0.5183486239,0.6355297754, 0_min_low,-500, 0_indicator, CDL3BLACKCROW_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1186,0.4384485666,2.49338117296E-05, 0_min_low,-500, 0_indicator, CDL3BLACKCROW_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1128,0.4778368794,0.1445443621, 0_min_low,-500, 0_indicator, CDL3BLACKCROW_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
,2005-01-01 00:00:00, 2005-12-31 23:59:59,18,0.6666666667,0.2378845215, 0_min_low,-500, 0_indicator, CDL3BLACKCROW_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,-10, 1_indicator, 21d_over_200d_ma_normbyvol_D, 1_threshold_high,5, 1_direction, long_below_low, 1_max_high,10, 1_threshold_low,-5
,2005-01-01 00:00:00, 2005-12-31 23:59:59,114,0.4122807018,0.0746925301, 0_min_low,-500, 0_indicator, CDL3BLACKCROW_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,-10, 1_indicator, 21d_over_200d_ma_normbyvol_D, 1_threshold_high,2, 1_direction, short_below_low, 1_max_high,10, 1_threshold_low,-2
,2005-01-01 00:00:00, 2005-12-31 23:59:59,43,0.3255813953,0.0315394974, 0_min_low,-500, 0_indicator, CDL3INSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5,,,,,,,,,,,,
,2005-01-01 00:00:00, 2005-12-31 23:59:59,43,0.6744186047,0.0315394974, 0_min_low,-500, 0_indicator, CDL3INSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5,,,,,,,,,,,,
,2005-01-01 00:00:00, 2005-12-31 23:59:59,15,0.8,0.03515625, 0_min_low,-500, 0_indicator, CDL3INSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI_D, 1_threshold_high,55, 1_direction, long_below_low, 1_max_high,70, 1_threshold_low,45
,2005-01-01 00:00:00, 2005-12-31 23:59:59,42,0.3333333333,0.0435585219, 0_min_low,-500, 0_indicator, CDL3INSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI_D, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
